"","typeH","typeN"
"NA.9843","1.28994929829926e-14","8.63073456529056e-15"
"NA.9844","3.81820296949848e-16","2.66974383716042e-16"
"NA.9845","9.21194896297142e-22","1.22135074228832e-21"
"NA.9846","2.04464311965477e-15","1.80246613980623e-15"
"NA.9847","3.45211655224636e-12","1.2081756304474e-12"
"NA.9848","4.20237850128751e-15","7.77030978616875e-15"
"NA.9849","1.1055835367337e-15","1.6610141281355e-15"
"NA.9850","6.9823695309557e-14","1.43364201277115e-13"
"NA.9851","9.04665318282549e-17","4.64661940438525e-17"
"NA.9852","1.85941377999469e-14","1.68477561987917e-14"
"NA.9853","7.14249233278365e-16","5.27447336386951e-16"
"NA.9854","4.8492872547192e-20","7.3080255950945e-20"
"NA.9855","1.33470616252841e-14","2.01086367992088e-14"
"NA.9856","3.43924142556205e-18","6.48590898294128e-18"
"NA.9857","2.89472551355231e-12","1.27226426507828e-12"
"NA.9858","3.79571085485077e-13","1.10086524405134e-13"
"NA.9859","1.23609983928414e-14","3.58324372586123e-14"
"NA.9860","1.5104799422177e-11","1.06272049222532e-13"
"NA.9861","3.00260596675843e-16","1.00007636119726e-15"
"NA.9862","2.61345708144175e-13","7.84790963628916e-14"
"NA.9863","2.0715467162101e-14","5.58503674475957e-14"
"NA.9864","3.07804577744593e-20","1.62517483229457e-20"
"NA.9865","8.75859756308048e-18","6.49873254072196e-19"
"NA.9866","5.98304568027476e-19","9.09612100493944e-19"
"NA.9867","2.52392185573332e-17","1.57496685110029e-17"
"NA.9868","5.61528307170046e-15","4.56545542306964e-15"
"NA.9869","1.3283983110641e-15","3.1927115698978e-15"
"NA.9870","2.45920407848655e-16","1.63518664254467e-16"
"NA.9871","1.08781542989034e-12","1.4578118285283e-12"
"NA.9872","1.33494627150368e-17","1.0621222953284e-17"
"NA.9873","1.93053435212129e-21","1.26312498490848e-21"
"NA.9874","1.42703921138689e-19","1.07068104949817e-19"
"NA.9875","1.66179068023224e-21","6.63197480089584e-22"
"NA.9876","8.6664948169631e-19","1.07030293692489e-18"
"NA.9877","2.41747752737694e-15","5.54120534932402e-15"
"NA.9878","2.87076332887403e-20","4.43476802349574e-20"
"NA.9879","2.12194095357089e-13","4.11902680976437e-14"
"NA.9880","1.28158977739645e-16","8.12528078617498e-17"
"NA.9881","2.59854192612214e-12","4.42547620800739e-12"
"NA.9882","2.63244879199955e-16","2.68799307464935e-16"
"NA.9883","2.25590601068685e-11","4.37834153652152e-11"
"NA.9884","1.28373074699012e-11","3.38238847552641e-12"
"NA.9885","5.53991607648276e-13","1.73819495728972e-13"
"NA.9886","9.44186728819046e-16","2.03601769955144e-15"
"NA.9887","1.52358613088194e-14","3.18849426136991e-14"
"NA.9888","2.98115630314744e-15","8.54072719953373e-15"
"NA.9889","7.64018020024953e-13","7.67631225139354e-14"
"NA.9890","8.4983944234985e-15","7.14823879386438e-15"
"NA.9891","1.0930189087671e-15","1.50505504783991e-15"
"NA.9892","1.49877431857e-17","2.17143455752751e-17"
"NA.9893","3.38146504233343e-18","4.26506296668503e-18"
"NA.9894","4.83894185003264e-16","3.53305923159684e-16"
"NA.9895","2.36136144266245e-18","6.26449052280226e-19"
"NA.9896","1.92576275547444e-13","1.30664758746823e-13"
"NA.9897","8.15990395076405e-17","5.88405109418761e-17"
"NA.9898","1.13348860173476e-06","4.33675586374407e-06"
"NA.9899","1.20348742160125e-11","8.37086793696889e-12"
"NA.9900","5.00800850985755e-15","1.03783306695038e-14"
"NA.9901","3.17819525878198e-11","1.31283916131335e-11"
"NA.9902","2.62275403617269e-19","9.90605154014272e-20"
"NA.9903","2.65447881524251e-12","2.69671713309715e-12"
"NA.9904","5.87791081255321e-19","2.83788745250855e-19"
"NA.9905","1.20239734936281e-15","1.56063303588923e-15"
"NA.9906","1.77244728000579e-16","2.0513555616895e-16"
"NA.9907","1.5021579495433e-12","1.19165347176818e-13"
"NA.9908","1.6181472295682e-19","7.95069419997722e-20"
"NA.9909","2.81350217837483e-19","2.6614863890724e-19"
"NA.9910","3.00966176964995e-15","9.10959110059999e-15"
"NA.9911","7.92559192771736e-16","7.44714263128584e-16"
"NA.9912","8.02872299567676e-14","2.71731950451073e-13"
"NA.9913","7.96686196076044e-12","2.82260443966557e-12"
"NA.9914","2.64077573350637e-12","3.31629156671094e-12"
"NA.9915","3.58587098983752e-12","7.36583580690892e-12"
"NA.9916","1.48257605025253e-19","8.27023688915221e-20"
"NA.9917","8.35535841514625e-13","8.11275646071934e-13"
"NA.9918","5.31488962069132e-12","8.707168143766e-12"
"NA.9919","2.18531476508148e-13","2.68628901283406e-13"
"NA.9920","9.72136201793362e-13","1.62847705487007e-12"
"NA.9921","3.55756942099135e-17","4.05371849944269e-17"
"NA.9922","6.07825957395885e-22","1.04814816184521e-21"
"NA.9923","1.53314758038531e-16","9.03870096887727e-17"
"NA.9924","3.17657793113703e-12","7.98986877743924e-12"
"NA.9925","1.25151426512968e-10","9.20297991623656e-11"
"NA.9926","1.20624964304203e-14","1.14182179234639e-14"
"NA.9927","1.99658338660369e-12","3.40934006266157e-12"
"NA.9928","2.46485395704912e-15","1.24545710879399e-15"
"NA.9929","6.22472967879303e-16","5.38425479481402e-16"
"NA.9930","8.68367758495361e-15","8.7333135477745e-15"
"NA.9931","1.86490109448795e-14","5.23439503834476e-14"
"NA.9932","6.62214899295112e-23","7.56734286933263e-23"
"NA.9933","8.9280742521497e-17","2.48202231957385e-17"
"NA.9934","1.74156450985288e-12","6.08502965613534e-14"
"NA.9935","2.86513037482118e-14","2.83194535542745e-14"
"NA.9936","3.77062680084102e-13","2.7881625327244e-13"
"NA.9937","2.85116585704471e-20","2.49180871271666e-20"
"NA.9938","4.82394787352316e-15","1.32696423357656e-14"
"NA.9939","5.2875762375824e-21","3.32117022557367e-21"
"NA.9940","2.88760448417559e-20","4.02773551852015e-20"
"NA.9941","3.29643257314559e-11","4.64218214859436e-12"
"NA.9942","1.5019704527876e-14","4.03519935974791e-14"
"NA.9943","2.20354026355681e-12","3.80763742469955e-12"
"NA.9944","1.07074026613118e-09","7.35109629714644e-09"
"NA.9945","4.00723954854784e-16","3.66545804784862e-16"
"NA.9946","6.02893132216309e-16","1.13227069001611e-15"
"NA.9947","9.93133476100176e-15","6.16156114094001e-15"
"NA.9948","2.8051138728148e-20","3.24948915418174e-20"
"NA.9949","1.09112552364394e-15","5.42977347470869e-16"
"NA.9950","2.90634122020381e-12","4.56587068621239e-12"
"NA.9951","1.67343343872421e-17","1.28238371945303e-17"
"NA.9952","8.06023185838184e-20","9.63750299704938e-20"
"NA.9953","3.16595524993721e-17","4.24306233913029e-17"
"NA.9954","4.05359400590255e-17","8.19286399686659e-17"
"NA.9955","5.74629173355716e-17","5.92086668304022e-17"
"NA.9956","9.75567323922541e-20","9.57899237074711e-20"
"NA.9957","6.39220497169819e-19","9.61535243808455e-19"
"NA.9958","4.76406694312998e-15","1.17079462496524e-14"
"NA.9959","5.8321483954156e-14","4.87880841176219e-14"
"NA.9960","6.85147475942735e-14","3.97895262949232e-14"
"NA.9961","1.46347216895133e-13","1.42708355697208e-14"
"NA.9962","1.00749972577578e-19","7.64107109393506e-20"
"NA.9963","4.0900328601742e-15","4.12041983471019e-15"
"NA.9964","8.07330214676205e-14","1.15870795478455e-13"
"NA.9965","2.3811507810531e-19","1.94465484507098e-19"
"NA.9966","1.30826843958257e-15","1.05280894411166e-15"
"NA.9967","1.58605319005213e-19","1.45118904625597e-19"
"NA.9968","1.0084366397835e-15","5.76017651446747e-16"
"NA.9969","5.31185421017619e-17","6.33191160212748e-17"
"NA.9970","4.45551301576055e-24","4.61941809055298e-24"
"NA.9971","2.11077716806176e-09","4.35741286853756e-09"
"NA.9972","1.51123935701982e-17","1.90408664244741e-17"
"NA.9973","1.21914664005208e-12","1.22218652468822e-10"
"NA.9974","2.79121281954993e-14","5.73181770602204e-14"
"NA.9975","1.02208656048175e-16","1.48052165825406e-16"
"NA.9976","7.54482646261174e-13","3.29776029618389e-13"
"NA.9977","7.15061050415219e-15","8.67675054001825e-15"
"NA.9978","8.8115414294009e-16","7.97870824076332e-16"
"NA.9979","1.17139412578069e-16","8.92525873932206e-17"
"NA.9980","1.46885528513004e-14","2.47617252816206e-14"
"NA.9981","1.03325073085335e-15","1.24337809243359e-15"
"NA.9982","5.09660375644062e-10","3.71213984916397e-10"
"NA.9983","3.56463900213512e-18","6.85838506089657e-18"
"NA.9984","6.95530779943527e-17","5.87329903757821e-17"
"NA.9985","2.01439378938414e-15","2.34584308528209e-14"
"NA.9986","4.81341160443089e-13","2.51713442089821e-13"
"NA.9987","1.34702030039378e-11","1.72659653158407e-12"
"NA.9988","2.203385190073e-18","4.41482426958231e-18"
"NA.9989","1.06413985045603e-17","8.20642238607129e-18"
"NA.9990","2.44366406144365e-15","1.31072867577012e-15"
"NA.9991","1.88343461067748e-10","3.49349615572418e-11"
"NA.9992","5.46922514808724e-12","1.54641967370264e-11"
"NA.9993","1.58720769764885e-15","4.17775456954877e-16"
"NA.9994","9.99824282388083e-17","8.53929249106181e-17"
"NA.9995","1.5716666795579e-16","1.19843209509113e-16"
"NA.9996","1.38465611478209e-21","7.70536165998631e-22"
"NA.9997","8.43173141195994e-12","2.80961203387222e-11"
"NA.9998","6.25709251868909e-17","5.88621324639943e-17"
"NA.9999","1.30960712790833e-13","8.18800549611557e-14"
"NA.10000","2.63606393043873e-19","1.64404917783417e-19"
"NA.10001","3.251769809464e-11","9.29224754325652e-11"
"NA.10002","1.56454242940509e-15","7.46721933074774e-16"
"NA.10003","3.45390960501647e-19","1.2192634149568e-18"
"NA.10004","7.35847485350319e-16","7.26742565464628e-16"
"NA.10005","1.62831771349467e-09","8.95642241590906e-12"
"NA.10006","4.41169584937165e-14","9.76854077622928e-14"
"NA.10007","1.0418061561736e-13","2.22978350076706e-13"
"NA.10008","1.36785376087495e-17","1.48785394416136e-17"
"NA.10009","1.63536784479105e-12","7.04055401083337e-11"
"NA.10010","5.48957974008538e-16","1.18411495861069e-15"
"NA.10011","8.85027742252997e-17","9.61996270611127e-17"
"NA.10012","1.61657147819731e-20","8.96060774936521e-22"
"NA.10013","5.04187690679855e-16","4.18742843597252e-16"
"NA.10014","1.9215882478081e-16","6.3717317437773e-17"
"NA.10015","2.41874069135286e-19","1.57350731657181e-19"
"NA.10016","5.59207925719214e-17","7.35133797899004e-17"
"NA.10017","7.08057305677976e-14","1.1083794529413e-13"
"NA.10018","2.03420230077956e-13","1.65506884971928e-13"
"NA.10019","1.86533309138182e-19","1.19769306066188e-19"
"NA.10020","6.05002841849486e-23","4.32611956518389e-23"
"NA.10021","2.30856522367624e-16","1.35412951460631e-16"
"NA.10022","1.38721702546989e-16","8.27674691849205e-17"
"NA.10023","3.4713167985637e-17","5.06507042154823e-16"
"NA.10024","5.64119922577414e-13","4.43524074457279e-13"
"NA.10025","1.21163502796165e-19","1.60029798353533e-19"
"NA.10026","2.36253249490614e-15","5.54391045034218e-16"
"NA.10027","6.23691108130551e-19","1.78335022972155e-19"
"NA.10028","6.32574324437125e-16","5.68408188414505e-16"
"NA.10029","2.40988049499155e-18","1.51600717149716e-18"
"NA.10030","1.65225686507793e-10","5.56455624337132e-10"
"NA.10031","1.10005126945396e-17","1.83724646253528e-17"
"NA.10032","2.37319606673814e-16","2.63183669173891e-16"
"NA.10033","3.12054953561927e-15","5.55026102166021e-15"
"NA.10034","9.68793604030931e-17","3.81835561875109e-17"
"NA.10035","4.33058706827595e-15","6.99785755000554e-15"
"NA.10036","5.2924447637911e-15","1.23112957651041e-14"
"NA.10037","8.50141608780051e-16","4.42463188233626e-15"
"NA.10038","4.25554614064637e-17","3.4791577171926e-17"
"NA.10039","6.39270290258916e-14","5.77830697629438e-14"
"NA.10040","2.24037094265774e-14","2.76050788876033e-15"
"NA.10041","1.79359752709712e-19","2.77732183815519e-19"
"NA.10042","4.02991172696987e-14","2.77770532130337e-13"
"NA.10043","4.69863328660994e-14","6.0472153257174e-14"
"NA.10044","2.73823921473848e-16","2.92233642164899e-16"
"NA.10045","4.24890094063176e-17","5.060022208618e-17"
"NA.10046","6.94980498542468e-14","7.77345615912256e-15"
"NA.10047","7.16578822794586e-21","4.23131179420972e-21"
"NA.10048","1.86959127655886e-13","4.60239970794252e-14"
"NA.10049","1.53143979162566e-17","5.88495555335743e-18"
"NA.10050","7.01513376435899e-14","1.76499800608895e-13"
"NA.10051","1.00257042963949e-16","8.57688785003296e-17"
"NA.10052","7.13710035953704e-17","5.13861949542756e-16"
"NA.10053","9.9487652081304e-21","3.27218024414551e-21"
"NA.10054","6.48599096345839e-13","2.21131574619367e-14"
"NA.10055","1.13724561291041e-19","1.68875650460322e-19"
"NA.10056","4.16433214081007e-16","1.30694943874652e-15"
"NA.10057","5.62689735953607e-15","3.448783258551e-15"
"NA.10058","1.09183003069337e-21","8.15934179549422e-22"
"NA.10059","3.48634473690068e-18","3.1974628684138e-18"
"NA.10060","3.64111530063821e-11","1.88792003801293e-11"
"NA.10061","1.83862475532185e-11","2.44714494257341e-12"
"NA.10062","1.40524580545152e-11","4.36616580909591e-13"
"NA.10063","3.60106055808972e-18","3.07115461331054e-18"
"NA.10064","2.06012561371113e-16","2.57114477805438e-16"
"NA.10065","1.47628129652453e-15","1.46622436725043e-15"
"NA.10066","7.10683640563324e-17","5.17622803921601e-17"
"NA.10067","2.02154481913698e-17","9.19236197570783e-18"
"NA.10068","2.7995708196897e-22","2.68581833155875e-22"
"NA.10069","1.75028449618605e-13","2.74156218723471e-14"
"NA.10070","1.0083367988598e-16","1.27715498043195e-16"
"NA.10071","9.27078066306107e-14","1.87934837016563e-14"
"NA.10072","7.58997934178015e-23","1.23406660455292e-22"
"NA.10073","1.41077684086295e-13","1.32811121075785e-13"
"NA.10074","3.63074094800551e-14","9.53196210757374e-14"
"NA.10075","1.88963027480871e-14","2.74302242975863e-14"
"NA.10076","3.61002683473911e-14","9.67355263610941e-15"
"NA.10077","3.72124431715877e-13","1.12220680239226e-12"
"NA.10078","2.09268131557953e-16","2.20047910349092e-16"
"NA.10079","7.80193797845377e-20","1.45338483988419e-19"
"NA.10080","7.99821974339811e-17","1.48732561543165e-16"
"NA.10081","1.74664418484696e-12","1.04414628224693e-12"
"NA.10082","6.75240966884645e-10","3.29622372255281e-09"
"NA.10083","7.86094680405921e-17","5.26822197378507e-17"
"NA.10084","8.1154431228769e-13","1.16113154342437e-12"
"NA.10085","9.17250094123774e-16","1.19830004159711e-15"
"NA.10086","3.53199583459804e-11","1.29531190566135e-11"
"NA.10087","2.32231005954167e-13","6.75659598400812e-13"
"NA.10088","8.22954414555983e-14","2.06116037540054e-13"
"NA.10089","9.99853493698109e-15","5.51463089315553e-15"
"NA.10090","1.16694586598893e-14","2.21572528099721e-14"
"NA.10091","8.99271536873621e-17","6.36880065685671e-17"
"NA.10092","3.2435188858145e-19","1.41232393442394e-18"
"NA.10093","1.56249403072632e-16","1.28233200932791e-16"
"NA.10094","6.9810702979503e-14","7.68794286815307e-14"
"NA.10095","1.55417823443632e-11","3.50696849405401e-11"
"NA.10096","4.07550051513932e-14","3.04766935423914e-15"
"NA.10097","1.79435710293116e-20","1.12035602090931e-20"
"NA.10098","8.22113677002611e-19","8.92204472406647e-19"
"NA.10099","1.71388821553101e-14","4.1886543822795e-15"
"NA.10100","5.79909051778241e-13","6.69057356252261e-13"
"NA.10101","7.61106945111647e-21","1.22784556307717e-20"
"NA.10102","3.4974042000163e-19","4.40412622318515e-19"
"NA.10103","1.29799078646586e-21","1.93694996234856e-21"
"NA.10104","1.26770269972592e-18","9.29669454580172e-19"
"NA.10105","3.59280231418532e-22","2.92737986827058e-22"
"NA.10106","2.27166197492126e-18","3.67913836089623e-18"
"NA.10107","2.23685500030943e-23","3.02409445364931e-23"
"NA.10108","1.95253220832342e-15","1.164147811652e-15"
"NA.10109","2.68820314616017e-15","7.72674603448216e-16"
"NA.10110","3.2531579299015e-16","5.01761571854001e-16"
"NA.10111","2.24407086909378e-11","1.09855607482128e-09"
"NA.10112","1.04606353949169e-20","1.6103959810614e-20"
"NA.10113","1.37542363897969e-16","7.67836917035749e-17"
"NA.10114","4.57968950488859e-17","3.03723553522466e-17"
"NA.10115","2.12526944271738e-17","1.44698410247123e-17"
"NA.10116","2.00314249805279e-18","2.16003594009788e-18"
"NA.10117","5.54042567277322e-20","6.72821695184153e-20"
"NA.10118","1.82374165105038e-10","2.5547237025701e-10"
"NA.10119","1.07163624386826e-12","4.15265960117659e-13"
"NA.10120","5.51371406358209e-20","5.51767317505504e-20"
"NA.10121","3.94621116574294e-20","2.61308053553989e-20"
"NA.10122","4.4076796462929e-18","2.20593154796146e-18"
"NA.10123","1.16356452354196e-14","1.72684103057469e-14"
"NA.10124","4.76442456850562e-17","9.11907206369749e-17"
"NA.10125","2.36167339962464e-19","3.5437144637067e-20"
"NA.10126","3.47798540669534e-22","3.32507783949321e-22"
"NA.10127","1.09325468226123e-14","2.4138660941802e-15"
"NA.10128","2.75942816549782e-10","9.70269881511616e-12"
"NA.10129","1.21820759096983e-11","2.63325586371444e-11"
"NA.10130","1.75986889253665e-20","1.46988937363638e-20"
"NA.10131","4.55912724259176e-11","7.4060955370309e-14"
"NA.10132","1.16066557205187e-14","9.03225006379793e-15"
"NA.10133","2.08498082344984e-16","1.31464427563994e-16"
"NA.10134","1.07112007074866e-17","3.70805772801786e-17"
"NA.10135","1.86218790533855e-12","2.93795605561427e-12"
"NA.10136","1.15380865918341e-16","1.8920887778546e-16"
"NA.10137","5.01534412308925e-16","2.21088614226653e-16"
"NA.10138","3.1582801069797e-22","5.86638960353769e-22"
"NA.10139","5.442157123613e-22","8.68430611171509e-22"
"NA.10140","8.35448281257871e-17","1.24125682490518e-16"
"NA.10141","1.35788670278899e-16","2.28047728867648e-16"
"NA.10142","1.61422176393294e-15","1.50496102822206e-15"
"NA.10143","8.39714738182613e-20","4.16565442741047e-20"
"NA.10144","1.0360508853345e-15","8.9954891060557e-16"
"NA.10145","1.34544176760784e-13","1.1247384285221e-13"
"NA.10146","4.7000709031799e-21","6.25286198903714e-21"
"NA.10147","3.90944978999044e-15","5.06180231229943e-15"
"NA.10148","6.06127453759661e-16","3.96959210825656e-16"
"NA.10149","2.4943741863835e-10","1.11744514695678e-10"
"NA.10150","5.02172479055378e-13","3.91717882999453e-14"
"NA.10151","2.90445700554906e-14","3.67777826990883e-14"
"NA.10152","1.21439804390484e-17","1.08005653460979e-17"
"NA.10153","6.48874877857442e-13","7.88932986925077e-13"
"NA.10154","1.24541374341157e-18","1.08140976867215e-18"
"NA.10155","2.58412695543774e-19","4.35001672705662e-19"
"NA.10156","4.86373097603892e-15","1.00916179422951e-14"
"NA.10157","4.89891373827905e-20","2.38543198697653e-20"
"NA.10158","3.70123716667638e-18","1.85005416110045e-18"
"NA.10159","7.84622330319932e-12","2.07726226648701e-12"
"NA.10160","1.41607792031081e-20","1.27362007041089e-20"
"NA.10161","9.49857549035635e-12","5.92845442287805e-12"
"NA.10162","1.36632309778083e-16","2.85774325305413e-16"
"NA.10163","2.69225849831622e-18","1.47646239666513e-18"
"NA.10164","1.56812004557819e-09","8.44963425055576e-10"
"NA.10165","3.28676563306873e-21","4.49610189728601e-21"
"NA.10166","2.33983557318213e-12","8.25541197559589e-13"
"NA.10167","9.01329529472996e-21","9.18216786278473e-21"
"NA.10168","3.32439701456488e-13","6.27113730764758e-14"
"NA.10169","7.15833677294615e-23","5.69945526683596e-23"
"NA.10170","6.31519933827348e-18","8.14695617760155e-18"
"NA.10171","2.00953333856774e-13","4.51091261946581e-14"
"NA.10172","3.41273854935389e-13","1.51607347767743e-13"
"NA.10173","2.70395649608873e-18","2.45769033403233e-18"
"NA.10174","2.20357031319054e-12","1.78089150525755e-12"
"NA.10175","2.18338866301749e-15","9.13395709438596e-16"
"NA.10176","3.16233435415914e-16","1.59640378371099e-15"
"NA.10177","2.94529319227752e-15","2.43547631142024e-16"
"NA.10178","1.29546635916405e-15","1.30700324780185e-15"
"NA.10179","3.22351411271884e-13","2.7632739043539e-13"
"NA.10180","2.62474912582541e-10","2.17489619181876e-10"
"NA.10181","3.0639831338902e-15","4.93946413784987e-15"
"NA.10182","2.790821354778e-18","2.74252522798834e-18"
"NA.10183","5.78725690254891e-13","2.27466377474197e-13"
"NA.10184","3.62404754380013e-10","2.07016528143951e-10"
"NA.10185","1.90078977235167e-14","8.55996902005555e-15"
"NA.10186","1.03712798329976e-12","1.30923730140772e-12"
"NA.10187","1.79331998895922e-14","4.91112205442764e-15"
"NA.10188","1.05423986178295e-15","1.59699463070963e-15"
"NA.10189","2.18011997561871e-12","7.37721449823604e-12"
"NA.10190","1.19393679252146e-19","5.88119527880356e-20"
"NA.10191","2.14258017473678e-20","2.85574760313308e-20"
"NA.10192","5.23945595833796e-16","5.87543548266491e-16"
"NA.10193","3.08064805747719e-16","2.23771252609397e-16"
"NA.10194","1.0014042487659e-22","1.04372242521401e-22"
"NA.10195","2.4907233662871e-16","1.19495592946948e-16"
"NA.10196","2.55956910057854e-11","2.97824657035354e-11"
"NA.10197","7.61421789068599e-21","6.03169230653645e-21"
"NA.10198","2.93475503088766e-17","4.99920737094661e-17"
"NA.10199","3.9354407043738e-16","4.1741367116515e-16"
"NA.10200","1.04547846973716e-23","9.84545217156762e-24"
"NA.10201","4.70293433832962e-10","2.33322476918435e-10"
"NA.10202","7.16512573443292e-14","4.44559696357912e-15"
"NA.10203","3.74091738802145e-15","1.3927786559311e-15"
"NA.10204","1.67749492457482e-15","1.57022481976714e-15"
"NA.10205","1.49652604735086e-11","4.12299428711821e-12"
"NA.10206","9.9438119852933e-14","3.33828970047104e-14"
"NA.10207","2.42578504330035e-14","1.47346204678763e-14"
"NA.10208","3.50544301112739e-16","2.50678205526265e-16"
"NA.10209","5.00956387489269e-13","1.3547343732519e-12"
"NA.10210","3.49931436895622e-14","3.56661955669104e-14"
"NA.10211","5.23619568941639e-12","6.40281514481193e-13"
"NA.10212","1.09702391782335e-15","3.2457437995627e-15"
"NA.10213","1.24263660889106e-11","3.52514399787826e-11"
"NA.10214","3.90946094098349e-12","1.61276052806189e-12"
"NA.10215","8.13823876308389e-21","8.24992428595227e-21"
"NA.10216","1.58246418702577e-16","1.25864845957348e-16"
"NA.10217","5.07246038476492e-13","1.90202294709181e-13"
"NA.10218","3.77012147570158e-15","1.6602804748588e-14"
"NA.10219","5.54594136565936e-16","1.10234517774017e-15"
"NA.10220","1.55229466600595e-14","1.168228350039e-14"
"NA.10221","2.90499854338938e-21","4.75301876350428e-21"
"NA.10222","1.00933545110921e-16","1.24715716896787e-16"
"NA.10223","1.10648521462418e-11","1.31920323899733e-10"
"NA.10224","1.39726630520995e-13","1.67451247090619e-13"
"NA.10225","3.74681132398326e-15","3.0817991631464e-15"
"NA.10226","4.41455493415367e-13","4.44182877397992e-13"
"NA.10227","5.45211832358523e-21","2.81595942720219e-21"
"NA.10228","9.43831103135745e-22","1.39133770405156e-21"
"NA.10229","5.89766249025718e-10","6.66000257278063e-11"
"NA.10230","1.80036182768169e-21","2.25194891938998e-21"
"NA.10231","8.06588109744428e-13","7.11306962191677e-13"
"NA.10232","6.03107229006741e-18","5.27326547864324e-18"
"NA.10233","2.67502507168213e-13","2.10464546547017e-13"
"NA.10234","2.72600244313439e-19","1.973778615954e-19"
"NA.10235","5.86477725299891e-14","1.32102147742079e-13"
"NA.10236","7.66949120984604e-20","2.86146828567205e-20"
"NA.10237","1.1289186864623e-19","1.21432338009586e-19"
"NA.10238","1.21577650560137e-11","1.93956621133312e-12"
"NA.10239","2.4998600181476e-14","2.84519632355197e-14"
"NA.10240","1.9529964596913e-12","1.88641382941015e-13"
"NA.10241","5.35870514599771e-10","1.70751252853782e-10"
"NA.10242","1.78739695755284e-15","9.57418725622551e-16"
"NA.10243","1.24053048582905e-16","1.04865068481226e-16"
"NA.10244","1.84465972606424e-09","4.07323582826249e-09"
"NA.10245","4.78213607147788e-18","9.10731775675116e-19"
"NA.10246","1.00016656532302e-18","7.57253664236665e-19"
"NA.10247","1.16184908014698e-15","1.91369520454219e-15"
"NA.10248","4.95895096016691e-13","5.57889850766726e-13"
"NA.10249","5.71312902508508e-15","1.63462260194987e-15"
"NA.10250","1.99201317987797e-16","3.63805465924286e-16"
"NA.10251","3.52643137343726e-14","5.86477725299891e-14"
"NA.10252","3.84808712020399e-11","7.39465549764621e-12"
"NA.10253","2.52046387154528e-14","4.70045572589809e-14"
"NA.10254","1.65519679514645e-20","5.67013949107416e-21"
"NA.10255","1.85446692134157e-13","1.80897353994444e-13"
"NA.10256","4.83417360716898e-20","2.84482213323651e-20"
"NA.10257","1.72184528088177e-19","2.05326534523533e-19"
"NA.10258","1.34445575129907e-13","6.4972622567291e-14"
"NA.10259","3.11304353852049e-12","1.68620070310988e-13"
"NA.10260","4.44474454378546e-14","1.36393917229979e-14"
"NA.10261","6.0507366280539e-16","6.64917119417323e-16"
"NA.10262","3.6231139940362e-16","6.23090554352309e-16"
"NA.10263","3.14469963629321e-22","3.27206884899868e-22"
"NA.10264","9.65423306696558e-17","1.40299203153997e-16"
"NA.10265","2.3378136350167e-12","7.61447447196371e-13"
"NA.10266","3.50333408117049e-21","3.64995145264479e-21"
"NA.10267","7.71500487065007e-12","2.33771656755835e-12"
"NA.10268","2.54487914905542e-16","3.77323371388103e-16"
"NA.10269","2.66029358802244e-17","1.6423494718812e-17"
"NA.10270","4.38788149282662e-20","2.42488384177163e-19"
"NA.10271","2.8093694391682e-13","6.16953291844973e-13"
"NA.10272","1.31022308871079e-15","2.7322610628717e-16"
"NA.10273","4.67926902659035e-15","1.01543555712166e-14"
"NA.10274","2.59096437893877e-13","6.40955604521158e-13"
"NA.10275","1.52777436839589e-11","3.7243197953007e-10"
"NA.10276","1.87942453776754e-15","3.75100866158119e-15"
"NA.10277","6.96114463072388e-23","5.9211335027148e-23"
"NA.10278","5.03151429902453e-13","3.94687293584757e-13"
"NA.10279","1.78484608737018e-17","1.54855793365969e-17"
"NA.10280","4.31164022885452e-14","2.24825153497801e-14"
"NA.10281","1.15775849610416e-17","1.62128448666171e-17"
"NA.10282","3.76797049624777e-17","9.55160672470049e-18"
"NA.10283","1.91333374814932e-14","8.65854358636103e-15"
"NA.10284","3.34588474954494e-13","1.71661066496045e-13"
"NA.10285","2.44690969356454e-18","1.20866115543731e-18"
"NA.10286","3.23929321908452e-13","8.23061943260668e-13"
"NA.10287","2.01684133497146e-13","2.30945405067951e-13"
"NA.10288","1.32183557709129e-16","7.90913695616218e-17"
"NA.10289","6.43917229263754e-14","1.18970884414489e-12"
"NA.10290","1.75177284514363e-18","5.53862528773307e-18"
"NA.10291","5.53135385070572e-15","1.11108070985118e-15"
"NA.10292","5.28172818293405e-18","2.83167807053957e-18"
"NA.10293","3.06080950015544e-19","1.47372797002318e-19"
"NA.10294","4.62612066223878e-14","1.09917113150706e-14"
"NA.10295","1.17039232079021e-22","2.30658388201895e-22"
"NA.10296","1.11018565138688e-18","8.76264033711652e-19"
"NA.10297","2.13797830583927e-17","4.16523027271118e-17"
"NA.10298","1.41806155931062e-12","7.91689606380714e-14"
"NA.10299","5.78632619032099e-14","8.76741817481316e-14"
"NA.10300","1.50711809355576e-14","1.68123692733486e-13"
"NA.10301","8.36841032685118e-17","6.73706501507236e-17"
"NA.10302","1.01388223648053e-10","2.35945336713752e-10"
"NA.10303","9.54590581111425e-19","1.13807899675784e-18"
"NA.10304","9.81833782390226e-20","1.18866169297804e-19"
"NA.10305","4.32846782451176e-13","7.39007763816785e-13"
"NA.10306","4.12174382743637e-22","3.91794310281747e-22"
"NA.10307","3.02084985538654e-14","4.90306989903617e-14"
"NA.10308","3.2485204293027e-11","5.79178419554625e-12"
