"","typeH","typeN"
"NA.40457","3.54249607878292e-15","5.12563275081602e-15"
"NA.40458","1.99272783746047e-17","4.9587688814179e-17"
"NA.40459","3.77140943649145e-18","4.89657680949682e-18"
"NA.40460","6.66129641837763e-17","2.09075184572644e-16"
"NA.40461","1.20168154800265e-23","1.37362072878073e-23"
"NA.40462","1.04081901367371e-23","1.47005544078196e-23"
"NA.40463","1.15122888393165e-08","5.89686954543893e-09"
"NA.40464","6.67940182654268e-10","1.60257020138037e-09"
"NA.40465","8.63910435984889e-13","1.13010932292924e-12"
"NA.40466","1.26119547812329e-13","2.38700621231709e-13"
"NA.40467","4.65775416965355e-17","6.92979751645615e-17"
"NA.40468","2.48784514651872e-15","3.5213052695972e-15"
"NA.40469","2.46621675091905e-10","4.38464982998848e-10"
"NA.40470","3.10719137626861e-14","3.20875425700704e-14"
"NA.40471","2.36417231854747e-23","3.83349876821536e-23"
"NA.40472","3.78461929890074e-13","5.60575227126653e-13"
"NA.40473","1.31447904839144e-13","1.67613371797237e-13"
"NA.40474","3.60356529500859e-12","2.10206295503914e-11"
"NA.40475","4.49350714631901e-16","7.46529527329342e-16"
"NA.40476","2.84842529227651e-14","4.77697750053929e-14"
"NA.40477","8.81334814600078e-17","6.4471862791824e-17"
"NA.40478","3.51297273351014e-17","4.13082766297992e-17"
"NA.40479","1.52224685856245e-16","2.68111324393691e-16"
"NA.40480","5.49653384852038e-22","6.47406853090241e-22"
"NA.40481","6.13005906611668e-16","7.35878875446426e-16"
"NA.40482","1.88374628396897e-18","1.15660951150025e-18"
"NA.40483","4.88743077720218e-21","8.83296795676427e-21"
"NA.40484","1.32922531630304e-14","1.35667450100548e-14"
"NA.40485","2.99193543024559e-14","1.16771913740845e-13"
"NA.40486","5.67694433699642e-15","3.61798415437043e-15"
"NA.40487","5.70034515366748e-14","8.62887414266222e-14"
"NA.40488","3.06300393254429e-15","6.34833357063078e-15"
"NA.40489","1.64772444441933e-16","4.03577893558492e-16"
